hcid,padrow,pad,ADC_sum,adc_0,adc_1,adc_2,adc_3,adc_4,adc_5,adc_6,adc_7,adc_8,adc_9,adc_10,adc_11,adc_12,adc_13,adc_14,adc_15,adc_16,adc_17,adc_18,adc_19,adc_20,adc_21,adc_22,adc_23,adc_24,adc_25,adc_26,adc_27,adc_28,adc_29
138,12,52,1014,10,11,10,12,10,10,10,7,9,9,9,13,14,16,17,23,33,55,121,144,114,79,54,46,37,35,32,25,24,25
139,12,77,322,9,10,10,10,11,8,11,10,12,12,11,11,9,10,10,14,10,8,11,10,15,15,10,11,10,11,12,9,11,11
138,12,51,1072,12,10,11,16,16,17,19,31,34,31,36,41,55,66,75,67,64,61,67,64,49,37,33,31,23,24,22,21,20,19
138,12,50,1645,22,55,101,158,149,114,99,107,103,82,67,59,54,50,48,41,38,31,31,27,25,23,23,24,20,19,20,20,18,17
140,12,25,291,11,11,12,13,11,9,11,7,11,10,11,8,10,9,10,8,9,9,8,7,8,10,8,10,11,9,11,9,10,10
140,12,26,491,20,53,48,32,22,20,17,16,15,15,15,14,12,12,12,14,10,11,12,10,13,10,9,13,11,10,12,11,11,11
140,12,27,1046,53,161,145,93,63,47,38,34,31,27,24,24,22,24,23,19,18,15,17,19,16,17,16,15,16,16,14,15,12,12
140,12,34,1069,11,12,10,9,10,10,12,10,8,10,8,10,9,11,10,15,23,38,83,158,158,113,76,52,42,37,36,32,30,26
141,12,92,1069,9,8,10,9,9,13,11,21,32,47,53,63,105,125,98,68,52,41,36,33,32,27,23,25,20,21,20,21,20,17
140,12,28,1661,87,250,264,182,118,84,63,51,46,42,39,38,35,32,28,27,27,27,24,23,22,21,18,16,17,17,16,17,16,14
140,12,35,819,9,9,9,10,9,10,12,11,9,10,11,8,12,9,9,11,10,13,30,80,120,112,76,50,38,30,30,27,24,21
140,12,35,819,9,9,9,10,9,10,12,11,9,10,11,8,12,9,9,11,10,13,30,80,120,112,76,50,38,30,30,27,24,21
141,12,93,1076,12,13,14,25,41,49,60,82,101,100,75,57,50,45,37,30,28,26,26,24,22,21,19,19,19,17,17,17,14,16
